Pressure H2 He
100000.0 90.0 10.0
36800.0 90.0 10.0
13500.0 90.0 10.0
4980.0 90.0 10.0
1830.0 90.0 10.0
674.0 90.0 10.0
248.0 90.0 10.0
91.2 90.0 10.0
33.5 90.0 10.0
12.3 90.0 10.0
4.54 90.0 10.0
1.67 90.0 10.0
0.614 90.0 10.0
0.226 90.0 10.0
0.0832 90.0 10.0
0.0306 90.0 10.0
0.0113 90.0 10.0
0.00414 90.0 10.0
0.00152 90.0 10.0
0.00056 90.0 10.0
0.000206 90.0 10.0
7.58e-05 90.0 10.0
2.79e-05 90.0 10.0
1.03e-05 90.0 10.0
