Pressure H2 He
100000.0 75.0 25.0
36800.0 75.0 25.0
13500.0 75.0 25.0
4980.0 75.0 25.0
1830.0 75.0 25.0
674.0 75.0 25.0
248.0 75.0 25.0
91.2 75.0 25.0
33.5 75.0 25.0
12.3 75.0 25.0
4.54 75.0 25.0
1.67 75.0 25.0
0.614 75.0 25.0
0.226 75.0 25.0
0.0832 75.0 25.0
0.0306 75.0 25.0
0.0113 75.0 25.0
0.00414 75.0 25.0
0.00152 75.0 25.0
0.00056 75.0 25.0
0.000206 75.0 25.0
7.58e-05 75.0 25.0
2.79e-05 75.0 25.0
1.03e-05 75.0 25.0
