Pressure CO2 N2
100000.0 100.0 0.0
36800.0 100.0 0.0
13500.0 100.0 0.0
4980.0 100.0 0.0
1830.0 100.0 0.0
674.0 100.0 0.0
248.0 100.0 0.0
91.2 100.0 0.0
33.5 100.0 0.0
12.3 100.0 0.0
4.54 100.0 0.0
1.67 100.0 0.0
0.614 100.0 0.0
0.226 100.0 0.0
0.0832 100.0 0.0
0.0306 100.0 0.0
0.0113 100.0 0.0
0.00414 100.0 0.0
0.00152 100.0 0.0
0.00056 100.0 0.0
0.000206 100.0 0.0
7.58e-05 100.0 0.0
2.79e-05 100.0 0.0
1.03e-05 100.0 0.0
